ubigeo,anio,foncomun_soles
010202,2015,2615054.0
010201,2015,4033591.0
010203,2015,1497815.0
010204,2015,491367.0
010205,2015,5987318.0
010206,2015,1575668.0
010304,2015,369600.0
010305,2015,369600.0
010302,2015,369600.0
010303,2015,369600.0
010306,2015,1503336.0
010307,2015,1346128.0
010301,2015,1682753.0
010308,2015,369600.0
010309,2015,369600.0
010310,2015,376678.0
010311,2015,369600.0
010312,2015,1833622.0
010402,2015,3302540.0
010401,2015,4278453.0
010403,2015,5208348.0
010102,2015,369600.0
010103,2015,385683.0
010101,2015,2086505.0
010104,2015,369600.0
010105,2015,369600.0
010106,2015,425074.0
010107,2015,369600.0
010108,2015,369600.0
010109,2015,928937.0
010110,2015,720480.0
010111,2015,369600.0
010112,2015,369600.0
010113,2015,369600.0
010114,2015,544059.0
010115,2015,369600.0
010116,2015,369600.0
010117,2015,369600.0
010118,2015,369600.0
010119,2015,369600.0
010120,2015,369600.0
010121,2015,369600.0
010502,2015,1295963.0
010503,2015,673879.0
010504,2015,461792.0
010505,2015,457311.0
010506,2015,369600.0
010501,2015,3015979.0
010507,2015,369600.0
010508,2015,369600.0
010509,2015,868650.0
010510,2015,369600.0
010511,2015,369600.0
010512,2015,914220.0
010513,2015,1031542.0
010514,2015,1550028.0
010515,2015,416241.0
010516,2015,369600.0
010517,2015,369600.0
010518,2015,369600.0
010519,2015,369600.0
010520,2015,487829.0
010521,2015,806877.0
010522,2015,369600.0
010523,2015,369600.0
010603,2015,369600.0
010602,2015,475849.0
010604,2015,527414.0
010605,2015,630281.0
010606,2015,369600.0
010607,2015,369600.0
010608,2015,369600.0
010609,2015,1872724.0
010601,2015,1571256.0
010610,2015,369600.0
010611,2015,369600.0
010612,2015,836036.0
010701,2015,6894197.0
010702,2015,6927343.0
010703,2015,2289751.0
010704,2015,1879117.0
010705,2015,2434324.0
010706,2015,2645832.0
010707,2015,1024408.0
020201,2015,390497.0
020202,2015,460349.0
020203,2015,369600.0
020204,2015,469024.0
020205,2015,369600.0
020302,2015,369600.0
020303,2015,369600.0
020304,2015,369600.0
020301,2015,631611.0
020305,2015,821174.0
020306,2015,369600.0
020402,2015,614647.0
020401,2015,384959.0
020502,2015,369600.0
020503,2015,369600.0
020504,2015,435714.0
020505,2015,369600.0
020506,2015,369600.0
020507,2015,636439.0
020501,2015,1303846.0
020508,2015,1236103.0
020509,2015,405904.0
020510,2015,369600.0
020511,2015,369600.0
020512,2015,369600.0
020513,2015,369600.0
020514,2015,369600.0
020515,2015,369600.0
020602,2015,371599.0
020603,2015,369600.0
020604,2015,369600.0
020605,2015,369600.0
020601,2015,1619680.0
020606,2015,1369255.0
020607,2015,369600.0
020608,2015,467030.0
020609,2015,476005.0
020610,2015,450737.0
020611,2015,497613.0
020701,2015,1549439.0
020702,2015,1229023.0
020703,2015,1602304.0
020802,2015,749011.0
020801,2015,1397146.0
020803,2015,396094.0
020804,2015,1225995.0
020902,2015,369600.0
020903,2015,369600.0
020901,2015,316050.0
020904,2015,505187.0
020905,2015,369600.0
020906,2015,369600.0
020907,2015,369600.0
020102,2015,383015.0
020103,2015,369600.0
020104,2015,470496.0
020101,2015,3906781.0
020105,2015,5770154.0
020106,2015,640700.0
020107,2015,369600.0
020108,2015,417414.0
020109,2015,369600.0
020110,2015,683394.0
020111,2015,636074.0
020112,2015,789269.0
021002,2015,369600.0
021003,2015,478403.0
021004,2015,1475577.0
021005,2015,369600.0
021006,2015,369600.0
021007,2015,585190.0
021008,2015,519155.0
021001,2015,2546184.0
021009,2015,369600.0
021010,2015,369600.0
021011,2015,571008.0
021012,2015,369600.0
